"";"titulo";"nome";"desc";"cargo_deleg";"org";"org_detalhe";"cargo_org";"conf";"pais";"nline";"fonte";"id_org_dupla"
"84";"Ms.";"Vivian Loss Sanmartin";"Secretary
Division of the Environment
Ministry of Foreign Affairs";NA;"MRE";"DEMA";"Secretário";"UNFCCC, INC11";"Brasil";6;"Lista ONU";3273
"85";NA;"Geraldo Eulálio do Nascimento e Silva";"6486, Diplomata";NA;"MRE";NA;NA;"IMO LEG, CONF01";"Brasil";NA;"Farias e Carmo";3271
"86";NA;"Helcio Tavares Pires";"6489, Diplomata";NA;"MRE";NA;NA;"IMO LEG, CONF01";"Brasil";NA;"Farias e Carmo";3271
"87";NA;"Lucia Patriota de Moura";"6491, Diplomata";NA;"MRE";NA;NA;"IMO LEG, CONF01";"Brasil";NA;"Farias e Carmo";3271
"88";NA;"Geraldo Eulálio do Nascimento e Silva";"6498, Diplomata";NA;"MRE";NA;NA;"OILPOL, CONF62";"Brasil";NA;"Farias e Carmo";3271
"89";NA;"Regina Victoria Castello Branco";"8879, Diplomata";NA;"MRE";NA;NA;"UNEP GC 02";"Brasil";NA;"Farias e Carmo";3271
"90";NA;"Marcos Castrioto de Azambuja";"9058, Diplomata";NA;"MRE";NA;NA;"UNEP GC 03";"Brasil";NA;"Farias e Carmo";3271
"91";NA;"Regina Victoria Castello Branco";"9059, Diplomata";NA;"MRE";NA;NA;"UNEP GC 03";"Brasil";NA;"Farias e Carmo";3271
"92";NA;"Carlos José Prazeres Campelo";"9060, Diplomata";NA;"MRE";NA;NA;"UNEP GC 03";"Brasil";NA;"Farias e Carmo";3271
"93";"Sra";"Maria América Duarte";"MS";NA;"MS";NA;NA;"POPS, COP02";"Brasil";8;"Resposta via LAI";3283
"94";"Mr.";"G. A. Tavares Barbosa";"Alternate
Petróleo Brasileiro, S.A.";"Alternate";"Petrobrás";NA;NA;"MARPOL, CONF";"Brasil";8;"Lista ONU";3021
"95";"Mr.";"P. R. M. Saboya";"Alternate
Rio Doce Engenharia e Planejamento";"Alternate";"Rio Doce Engenharia e Planejamento";NA;NA;"MARPOL, CONF";"Brasil";9;"Lista ONU";3284
"96";NA;"Paulo Nogueira Neto";"8878, Outros";NA;"SEMA";NA;NA;"UNEP GC 02";"Brasil";NA;"Farias e Carmo";3285
"97";"Mr.";"E. Nogueira de Sá";"Adviser
Sindicato Nacional das Empresas de Navegação Marítima";"Adviser";"Sindicato Nacional das Empresas de Navegação Marítima";NA;NA;"MARPOL, CONF";"Brasil";11;"Lista ONU";3286
"98";"Mr.";"José Máximo Viana";"Head
Environment Division of the Planning Coordination
SUDENE";NA;"SUDENE";"Divisão de Meio Ambiente da Coordenação de Planejamento";"Chefe";"ICCD, COP04";"Brasil";8;"Lista ONU";3287
"99";"Captain";"J. A. Munro";"Alternate
Superintendency of Merchant Marine";"Alternate";"SUNAMAM - Superintendência Nacional da Marinha Mercante";NA;NA;"MARPOL, CONF";"Brasil";4;"Lista ONU";3288
"100";"Mr.";"Marx Prestes Barbosa";"Professor
Department of Agricultural Engineering
Federal University of Campina Grande";NA;"Universidade Federal de Campina Grande";"Departamento de Engenharia Agrícola";"Professor";"ICCD, COP09";"Brasil";18;"Lista ONU";3289
"101";NA;"Ordilei Lazari";"Participante da Reunião de Jovens, paralela à Conferência e organizada pelo Presidente da VI COP";NA;NA;NA;NA;"CBD, COP06";"Brasil";9;"Telegrama via LAI";24
"102";"Mr.";"E. F. Vargas";"Alternate";"Alternate";NA;NA;NA;"MARPOL, CONF";"Brasil";10;"Lista ONU";24
"103";NA;"Fernando Ernesto Carneiro Ribeiro";"6488, Militar";NA;NA;NA;NA;"IMO LEG, CONF01";"Brasil";NA;"Farias e Carmo";24
"104";NA;"Alexandrino Ramos de Alencar";"6499, Militar";NA;NA;NA;NA;"OILPOL, CONF62";"Brasil";NA;"Farias e Carmo";24
"105";NA;"Luiz Fernando Burlamaqui da Cunha";"6500, Militar";NA;NA;NA;NA;"OILPOL, CONF62";"Brasil";NA;"Farias e Carmo";24
"106";NA;"Marcello Ramos e Silva";"6501, Militar";NA;NA;NA;NA;"OILPOL, CONF62";"Brasil";NA;"Farias e Carmo";24
"107";NA;"Alfredo Teixeira Valladão";"9056, Diplomata";NA;"MRE";NA;NA;"UNEP GC 03";"Brasil";NA;"Farias e Carmo";3271
