org_sujo;org_detalhe_sujo;id_org_dupla;org_detalhe_limpo;org_limpo;id_org_unica
Ministério da Agricultura, Pecuária e Abastecimento;"Secretaria de Saúde e Inspeção Animal e Vegetal; Diretoria de Sanidade Vegetal";2952;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;"Secretaria de Defesa Agropecuária; Coordenação de Vigilância Internacional de Agropecuária";2953;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;"Secretaria de Defesa Agropecuária; Departamento de Sanidade Vegetal; Divisão de Análise de Riscos de Pragas";2954;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;"Serviço de Campanhas e Programas Fitossanitárias; Departamento de Sanidade Vegetal; Secretaria de Defesa Agropecuária";2955;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;"Programa de Erradicação da Mosca da Carambola; Departamento de Sanidade Vegetal; Secretaria de Defesa Agropecuária";2956;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;"Divisão de Certificação Fitossanitária; Departamento de Sanidade Vegetal; Secretaria de Defesa Agropecuária";2957;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;Coordenação de Assuntos Internacionais Fitossanitários;2958;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;Divisão de Análise de Riscos de Pragas;2959;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;Divisão de Certificação Fitossanitária;2960;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;"Departamento de Sanidade Vegetal; Ponto de contato oficial IPPC";2961;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;Departamento de Negociações Não-Tarifárias;2962;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;Coordenadoria de Quarentena Vegetal;2963;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;Departamento de Sanidade Vegetal e Insumos Agrícolas;2964;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;Comitê em Saúde Vegetal (COSAVE);2965;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;Coordenadoria de Supervisão e Certificação de Trânsito Internacional;2966;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;Permanent Representation of Brazil to FAO;2967;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;Organização Brasileira de Proteção Vegetal;2968;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;Coordenação Geral de Inspeção e Certificação Fitossanitária Internacional;2969;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;Divisão de Inspeção e Tratamento de Quarentenas;2970;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;Divisão de Quarentena Vegetal;2971;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
Ministério da Agricultura, Pecuária e Abastecimento;Coordenação Geral de Defesa Vegetal;2972;NA;Ministério da Agricultura, Pecuária e Abastecimento;421
