org_sujo;org_detalhe_sujo;id_org_dupla;org_limpo;org_detalhe_limpo;id_org_unica
Ministério da Saúde;Assessoria de Assuntos Internacionais de Saúde, Divisão de Análise Técnica;2892;Ministério da Saúde;NA;432
Ministério das Relações Exteriores;NA;2739;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Secretaria-Geral de Política Exterior;2800;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Representação Especial para Coordenar as Posições Brasileiras à Conferência do Rio;2804;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Embaixada em Washington;2812;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Missão Permanente junto às Nações Unidas em Nova York;2813;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Missão Permanente Junto ao Programa das Nações Unidas para o Meio Ambiente (PNUMA), em Nairóbi;2814;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Missão Permanente junto à Organização dos Estados Americanos (OEA);2815;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Missão Permanente junto às Nações Unidas em Genebra;2816;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Gabinete do ministro;2820;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Grupo de Trabalho Nacional para Organização da Conferência das Nações Unidas sobre Meio Ambiente e Desenvolvimento, CIMA - Comissão Interministerial para a Preparação da Conferência das Nações Unidas sobre Meio Ambiente e Desenvolvimento];2822;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Secretaria de Imprensa;2823;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;"Divisão de Meio Ambiente; CIMA";2824;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;"Comissão de Cerimonial do Grupo de Trabalho Nacional para a Organização da Conferência das Nações Unidas sobre Meio Ambiente e Desenvolvimento, CIMA; Consulado-Geral em Londres";2826;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Delegação Permanente do Brasil junto aos Organismos Internacionais sediados em Genebra;2840;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Divisão de Meio Ambiente;1271;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Embaixada do Brasil no México;2842;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Embaixada em Assunção;2844;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Embaixada em Pretória;2856;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Assessoria de Relações com o Congresso;2857;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Embaixada em Nairóbi;2858;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Missão Permanente junto à Organização das Nações Unidas para Educação, Ciência e Cultura (UNESCO);2859;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Embaixada do Brasil em Pretória;2862;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Missão Permanente junto às Nações Unidas;2863;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Departamento de Meio Ambiente e Temas Especiais;2864;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Assessoria de Comunicação Social;2866;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Divisão de Política Ambiental e Desenvolvimento Sustentável;2873;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Cerimonial;2946;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;Departamento de Comunicações e Documentação;2950;Ministério das Relações Exteriores;NA;435
Ministério das Relações Exteriores;ABC - Agência Brasileira de Cooperação;2954;Ministério das Relações Exteriores;NA;435
Ministry of Foreign Affairs;Division of Climate Change;2558;Ministério das Relações Exteriores;NA;435
Ministry of Foreign Affairs;Embassy of Brazil in Quito;2970;Ministério das Relações Exteriores;NA;435
Ministério de Minas e Energia;NA;2749;Ministério de Minas e Energia;NA;436
Ministério de Minas e Energia;Departamento Nacional de Desenvolvimento Energético, Secretaria de Energia;2894;Ministério de Minas e Energia;NA;436
Ministério de Minas e Energia;Coordenadoria-Geral de Informações Estratégicas;2895;Ministério de Minas e Energia;NA;436
Ministério do Desenvolvimento Agrário;Conselho Nacional do Desenvolvimento Rural Sustentável;2876;Ministério do Desenvolvimento Agrário;NA;437
Ministério do Meio Ambiente;NA;252;Ministério do Meio Ambiente;NA;442
Ministério do Meio Ambiente;Assessoria para Assuntos Internacionais;2865;Ministério do Meio Ambiente;NA;442
Ministério do Meio Ambiente;Secretaria de Biodiversidade e Florestas;2869;Ministério do Meio Ambiente;NA;442
Ministério do Meio Ambiente;Secretaria de Qualidade Ambiental nos Assentamentos Humanos;2870;Ministério do Meio Ambiente;NA;442
Ministério do Meio Ambiente;Secretaria de Recursos Hídricos;1266;Ministério do Meio Ambiente;NA;442
Ministério do Meio Ambiente;Secretaria de Coordenação da Amazônia;2871;Ministério do Meio Ambiente;NA;442
Ministério do Meio Ambiente;Assessoria de Comunicação Social;1268;Ministério do Meio Ambiente;NA;442
Ministério do Meio Ambiente;Programa Nacional de Florestas;2880;Ministério do Meio Ambiente;NA;442
