"ano";"id_org_unica";"dotacao_atual_total";"pago_total";"dotacao_atual_invest";"pago_invest";"servidores_superior";"servidores_naosup";"forca_trabalho";"org_limpo"
2004;422;3948294428;2621053730;266063109;169637927;3091;797;7152;"Ministério da Ciência e Tecnologia"
2004;423;523658926;308432352;97761116;12665068;252;254;2589;"Ministério da Cultura"
2004;424;30817948169;27308310277;1641696396;851801221;9827;19288;28899;"Ministério da Defesa"
2004;425;10365138747;8772868216;114472954;60379980;51243;48440;NA;"Ministério da Economia"
2004;426;19521090512;17157878368;695394091;264227336;101518;60025;171925;"Ministério da Educação"
2004;429;4515682402;3920064789;640752061;316032311;11620;12267;23463;"Ministério da Justiça"
2004;430;0;0;0;0;NA;NA;NA;"Ministério da Pesca e Aquicultura"
2004;431;1,34e+18;1,32e+18;41050725;8087499;953;733;40660;"Ministério da Previdência Social"
2004;432;38216590428;33652264131;2496791961;574587368;40852;63902;103483;"Ministério da Saúde"
2004;433;9015812590;6131514799;2762901474;810389004;1474;1810;280;"Ministério das Cidades"
2004;434;2203222250;972796577;62900855;13451725;227;299;1604;"Ministério das Comunicações"
2004;435;1853305765;1370666711;39665186;27616551;2114;982;2962;"Ministério das Relações Exteriores"
2004;436;3045794020;601780800;66374714;34837501;1255;930;2028;"Ministério de Minas e Energia"
2004;437;2530290966;1877146775;384938379;117139459;126;122;5567;"Ministério do Desenvolvimento Agrário"
2004;438;14336507580;13597714547;184612603;87399371;255;170;383;"Ministério do Desenvolvimento Social e Combate à Fome"
2004;439;1115667780;621395914;183576127;65435002;NA;NA;2338;"Ministério do Desenvolvimento, Indústria e Comércio Exterior"
2004;440;384098327;147956896;249620286;46962794;99;133;221;"Ministério do Esporte"
2004;442;1774172534;971265513;120212143;21395313;3823;4099;7894;"Ministério do Meio Ambiente"
2004;444;2316850948;1518679145;26623751;6300374;2624;2176;12932;"Ministério do Planejamento, Orçamento e Gestão"
2004;445;28464803113;19118394606;45209426;18265430;4435;2671;7268;"Ministério do Trabalho e Emprego"
2004;446;508305851;252981788;252700498;87812215;1385;1129;294;"Ministério do Turismo"
2004;523;1403700353;1057889252;136576458;46607338;10792;4445;3767;"Presidência da República"
2004;551;0;0;0;0;NA;NA;NA;"Secretaria de Assuntos Estratégicos"
2004;552;0;0;0;0;NA;NA;NA;"Secretaria de Aviação Civil"
2004;557;0;0;0;0;NA;NA;NA;"Secretaria de Políticas de Promoção da Igualdade Racial"
2004;561;0;0;0;0;NA;NA;NA;"Secretaria Especial de Direitos Humanos"
2004;562;0;0;0;0;NA;NA;NA;"Secretaria Especial de Políticas para as Mulheres"
2004;564;0;0;0;0;NA;NA;NA;"Secretaria Nacional de Portos"
2004;658;5253179;4767384;110000;107477;NA;NA;NA;"Vice-Presidência da República"
2004;700;9978646230;3710965983;3603381574;1041056729;2006;2500;NA;"Ministério da Infra-Estrutura"
2004;750;0;0;0;0;NA;NA;NA;"Ministério da Mulher, da Família e dos Direitos Humanos"
2004;751;0;0;0;0;NA;NA;NA;"Secretaria Especial da Micro e Pequena Empresa"
2004;752;0;0;0;0;NA;NA;NA;"Ministério da Segurança Pública"
2005;27;1055289590;833935654;9218666;1417384;NA;NA;7766;"AGU - Advocacia Geral da União"
2005;176;0;0;0;0;NA;NA;NA;"Controladoria Geral da União"
2005;421;5582580465;3878427210;370532107;57919089;7370;10079;11742;"Ministério da Agricultura, Pecuária e Abastecimento"
2005;422;5120710200;2996453695;702457282;240252330;3305;1025;7243;"Ministério da Ciência e Tecnologia"
2005;423;670823593;403276986;129199915;37777160;258;254;2591;"Ministério da Cultura"
2005;424;34994908939;30759497458;2004274677;909636686;10076;19174;29002;"Ministério da Defesa"
2005;425;11022019224;9047969199;351633904;202782676;53031;47668;NA;"Ministério da Economia"
2005;426;22329424928;18082501459;1110137410;292232186;103018;59635;173181;"Ministério da Educação"
2005;429;5375463058;4217561932;664315962;301844736;13108;12740;25502;"Ministério da Justiça"
2005;430;0;0;0;0;NA;NA;NA;"Ministério da Pesca e Aquicultura"
2005;431;1,55e+18;1,53e+17;100906731;5770782;1785;1063;42202;"Ministério da Previdência Social"
2005;432;42931340522;36845040043;2589449989;265718665;42786;64416;106079;"Ministério da Saúde"
