nome_org_original;org_limpo;id_org_unica;estr_intl;ano
Ministério da Previdência Social;Ministério da Previdência Social;431;0;2004
Ministério das Comunicações;Ministério das Comunicações;434;0;2004
Ministério das Relações Exteriores;Ministério das Relações Exteriores;435;1;2004
Ministério de Minas e Energia;Ministério de Minas e Energia;436;1;2004
Ministério do Desenvolvimento Agrário;Ministério do Desenvolvimento Agrário;437;1;2004
Ministério do Desenvolvimento Social e Combate à Fome;Ministério do Desenvolvimento Social e Combate à Fome;438;1;2004
Ministério do Desenvolvimento, Indústria e Comércio Exterior;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;1;2004
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2004
Ministério do Trabalho e Emprego;Ministério do Trabalho e Emprego;445;1;2004
Ministério do Turismo;Ministério do Turismo;446;1;2004
Secretaria Especial de Políticas de Promoção da Igualdade Racial da Presidência da República;Secretaria de Políticas de Promoção da Igualdade Racial;557;0;2004
Secretaria de Coordenação Política e Assuntos Institucionais da Presidência da República;Secretaria de Relações Institucionais;558;0;2004
Secretaria Especial dos Direitos Humanos da Presidência da República;Secretaria Especial de Direitos Humanos;561;0;2004
Secretaria Especial do Conselho de Desenvolvimento Econômico e Social da Presidência da República;;;0;2004
Agência Brasileira de Inteligência do Gabinete de Segurança Institucional da Presidência da República;ABIN - Agência Brasileira de Inteligência;8;1;2005
Ministério da Agricultura, Pecuária e Abastecimento;Ministério da Agricultura, Pecuária e Abastecimento;421;1;2005
Ministério da Ciência e Tecnologia;Ministério da Ciência e Tecnologia;422;1;2005
Ministério da Defesa;Ministério da Defesa;424;1;2005
Ministério da Defesa;Ministério da Defesa;424;1;2005
Ministério da Fazenda;Ministério da Fazenda;427;1;2005
Ministério da Fazenda;Ministério da Fazenda;427;1;2005
Ministério da Justiça;Ministério da Justiça;429;1;2005
Ministério da Previdência Social;Ministério da Previdência Social;431;0;2005
Ministério da Previdência Social;Ministério da Previdência Social;431;0;2005
Ministério das Relações Exteriores;Ministério das Relações Exteriores;435;1;2005
Ministério do Desenvolvimento Social e Combate à Fome;Ministério do Desenvolvimento Social e Combate à Fome;438;1;2005
Ministério do Desenvolvimento, Indústria e Comércio Exterior;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;1;2005
Ministério do Desenvolvimento, Indústria e Comércio Exterior;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;1;2005
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2005
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2005
Secretaria de Relações Institucionais da Presidência da República;Secretaria de Relações Institucionais;558;0;2005
Secretaria-Geral da Presidência da República;Secretaria Geral da Presidência da República;563;0;2005
Controladoria-Geral da União;Controladoria Geral da União;176;1;2006
Gabinete de Segurança Institucional da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;0;2006
Ministério da Ciência e Tecnologia;Ministério da Ciência e Tecnologia;422;1;2006
Ministério da Cultura;Ministério da Cultura;423;0;2006
Ministério da Fazenda;Ministério da Fazenda;427;1;2006
Ministério da Integração Nacional;Ministério da Integração Nacional;428;0;2006
Ministério da Justiça;Ministério da Justiça;429;1;2006
Ministério da Previdência Social;Ministério da Previdência Social;431;0;2006
Ministério da Previdência Social;Ministério da Previdência Social;431;0;2006
Ministério da Saúde;Ministério da Saúde;432;1;2006
Ministério da Saúde;Ministério da Saúde;432;1;2006
Ministério da Saúde;Ministério da Saúde;432;1;2006
Ministério das Relações Exteriores;Ministério das Relações Exteriores;435;1;2006
Ministério do Desenvolvimento, Indústria e Comércio Exterior;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;1;2006
Ministério do Meio Ambiente;Ministério do Meio Ambiente;442;1;2006
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2006
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2006
Núcleo de Assuntos Estratégicos da Presidência da República;Núcleo de Assuntos Estratégicos da Presidência;500;0;2006
Secretaria-Geral da Presidência da República;Secretaria Geral da Presidência da República;563;0;2006
Secretaria de Imprensa e Porta-Voz da Presidência da República;;;1;2006
Secretaria de Imprensa e Porta-Voz da Presidência da República;;;1;2006
Secretaria de Imprensa e Porta-Voz da Presidência da República;;;1;2006
Ministério da Defesa;Ministério da Defesa;424;1;2007
Ministério da Defesa;Ministério da Defesa;424;1;2007
Ministério da Educação;Ministério da Educação;426;1;2007
Ministério da Fazenda;Ministério da Fazenda;427;1;2007
Ministério da Fazenda;Ministério da Fazenda;427;1;2007
Ministério da Fazenda;Ministério da Fazenda;427;1;2007
Ministério da Fazenda;Ministério da Fazenda;427;1;2007
Ministério da Integração Nacional;Ministério da Integração Nacional;428;0;2007
Ministério da Justiça;Ministério da Justiça;429;1;2007
Ministério da Previdência Social;Ministério da Previdência Social;431;1;2007
Ministério do Desenvolvimento, Indústria e Comércio Exterior;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;1;2007
Ministério do Meio Ambiente;Ministério do Meio Ambiente;442;1;2007
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2007
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2007
Ministério do Turismo;Ministério do Turismo;446;1;2007
Núcleo de Assuntos Estratégicos da Presidência da República;Núcleo de Assuntos Estratégicos da Presidência;500;0;2007
Gabinete Pessoal do Presidente da República;Presidência da República;523;0;2007
Gabinete Pessoal do Presidente da República;Presidência da República;523;0;2007
Secretaria de Relações Institucionais da Presidência da República;Secretaria de Relações Institucionais;558;0;2007
Secretaria de Relações Institucionais da Presidência da República;Secretaria de Relações Institucionais;558;0;2007
Secretaria Especial de Aqüicultura e Pesca;Secretaria Especial de Aquicultura e Pesca;560;0;2007
Secretaria Especial dos Direitos Humanos;Secretaria Especial de Direitos Humanos;561;0;2007
Secretaria Especial de Portos da Presidência da República;Secretaria Nacional de Portos;564;0;2007
Secretaria de Planejamento de Longo Prazo da Presidência da República;;;0;2007
Agência Brasileira de Inteligência (ABIN) do Gabinete de Segurança Institucional da Presidência da República;ABIN - Agência Brasileira de Inteligência;8;1;2008
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;0;2008
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;0;2008
