"id_org_unica";"ano";"part_count";"part_binaria";"org_limpo"
436;1970;0;0;"Ministério de Minas e Energia"
436;1971;0;0;"Ministério de Minas e Energia"
436;1972;0;0;"Ministério de Minas e Energia"
436;1973;0;0;"Ministério de Minas e Energia"
436;1974;0;0;"Ministério de Minas e Energia"
436;1975;0;0;"Ministério de Minas e Energia"
436;1976;0;0;"Ministério de Minas e Energia"
436;1977;0;0;"Ministério de Minas e Energia"
436;1978;0;0;"Ministério de Minas e Energia"
436;1979;0;0;"Ministério de Minas e Energia"
436;1980;0;0;"Ministério de Minas e Energia"
436;1981;0;0;"Ministério de Minas e Energia"
436;1982;0;0;"Ministério de Minas e Energia"
436;1983;0;0;"Ministério de Minas e Energia"
436;1984;0;0;"Ministério de Minas e Energia"
436;1985;0;0;"Ministério de Minas e Energia"
436;1986;0;0;"Ministério de Minas e Energia"
436;1987;0;0;"Ministério de Minas e Energia"
436;1988;0;0;"Ministério de Minas e Energia"
436;1989;0;0;"Ministério de Minas e Energia"
436;1990;0;0;"Ministério de Minas e Energia"
436;1991;0;0;"Ministério de Minas e Energia"
436;1992;2;1;"Ministério de Minas e Energia"
436;1993;0;0;"Ministério de Minas e Energia"
436;1994;0;0;"Ministério de Minas e Energia"
436;1995;0;0;"Ministério de Minas e Energia"
436;1996;0;0;"Ministério de Minas e Energia"
436;1997;1;1;"Ministério de Minas e Energia"
436;1998;1;1;"Ministério de Minas e Energia"
436;1999;1;1;"Ministério de Minas e Energia"
436;2000;1;1;"Ministério de Minas e Energia"
436;2001;0;0;"Ministério de Minas e Energia"
436;2002;5;1;"Ministério de Minas e Energia"
436;2003;2;1;"Ministério de Minas e Energia"
436;2004;6;1;"Ministério de Minas e Energia"
436;2005;6;1;"Ministério de Minas e Energia"
436;2006;3;1;"Ministério de Minas e Energia"
436;2007;1;1;"Ministério de Minas e Energia"
436;2008;1;1;"Ministério de Minas e Energia"
436;2009;1;1;"Ministério de Minas e Energia"
436;2010;1;1;"Ministério de Minas e Energia"
436;2011;0;0;"Ministério de Minas e Energia"
436;2012;7;1;"Ministério de Minas e Energia"
436;2013;1;1;"Ministério de Minas e Energia"
436;2014;0;0;"Ministério de Minas e Energia"
436;2015;0;0;"Ministério de Minas e Energia"
436;2016;0;0;"Ministério de Minas e Energia"
436;2017;0;0;"Ministério de Minas e Energia"
436;2018;0;0;"Ministério de Minas e Energia"
436;2019;3;1;"Ministério de Minas e Energia"
442;1970;0;0;"Ministério do Meio Ambiente"
442;1971;0;0;"Ministério do Meio Ambiente"
442;1972;0;0;"Ministério do Meio Ambiente"
442;1973;0;0;"Ministério do Meio Ambiente"
442;1974;0;0;"Ministério do Meio Ambiente"
442;1975;0;0;"Ministério do Meio Ambiente"
442;1976;0;0;"Ministério do Meio Ambiente"
442;1977;0;0;"Ministério do Meio Ambiente"
442;1978;0;0;"Ministério do Meio Ambiente"
442;1979;0;0;"Ministério do Meio Ambiente"
442;1980;0;0;"Ministério do Meio Ambiente"
442;1981;0;0;"Ministério do Meio Ambiente"
442;1982;0;0;"Ministério do Meio Ambiente"
442;1983;0;0;"Ministério do Meio Ambiente"
442;1984;0;0;"Ministério do Meio Ambiente"
442;1985;0;0;"Ministério do Meio Ambiente"
442;1986;0;0;"Ministério do Meio Ambiente"
442;1987;0;0;"Ministério do Meio Ambiente"
442;1988;0;0;"Ministério do Meio Ambiente"
442;1989;0;0;"Ministério do Meio Ambiente"
442;1990;0;0;"Ministério do Meio Ambiente"
442;1991;0;0;"Ministério do Meio Ambiente"
442;1992;0;0;"Ministério do Meio Ambiente"
442;1993;0;0;"Ministério do Meio Ambiente"
442;1994;9;1;"Ministério do Meio Ambiente"
442;1995;8;1;"Ministério do Meio Ambiente"
442;1996;10;1;"Ministério do Meio Ambiente"
442;1997;5;1;"Ministério do Meio Ambiente"
442;1998;16;1;"Ministério do Meio Ambiente"
442;1999;56;1;"Ministério do Meio Ambiente"
442;2000;14;1;"Ministério do Meio Ambiente"
442;2001;9;1;"Ministério do Meio Ambiente"
442;2002;36;1;"Ministério do Meio Ambiente"
442;2003;15;1;"Ministério do Meio Ambiente"
442;2004;31;1;"Ministério do Meio Ambiente"
442;2005;25;1;"Ministério do Meio Ambiente"
442;2006;36;1;"Ministério do Meio Ambiente"
442;2007;28;1;"Ministério do Meio Ambiente"
442;2008;45;1;"Ministério do Meio Ambiente"
442;2009;16;1;"Ministério do Meio Ambiente"
442;2010;39;1;"Ministério do Meio Ambiente"
442;2011;22;1;"Ministério do Meio Ambiente"
442;2012;105;1;"Ministério do Meio Ambiente"
442;2013;25;1;"Ministério do Meio Ambiente"
442;2014;44;1;"Ministério do Meio Ambiente"
442;2015;26;1;"Ministério do Meio Ambiente"
442;2016;84;1;"Ministério do Meio Ambiente"
442;2017;57;1;"Ministério do Meio Ambiente"
442;2018;44;1;"Ministério do Meio Ambiente"
442;2019;21;1;"Ministério do Meio Ambiente"
444;1970;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1971;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1972;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1973;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1974;0;0;"Ministério do Planejamento, Orçamento e Gestão"
444;1975;0;0;"Ministério do Planejamento, Orçamento e Gestão"
