id_org_ano;id_org_unica;ano;org_limpo;part_count;part_binaria;existencia;dotacao_atual_total;pago_total;dotacao_atual_invest;pago_invest;servidores_superior;servidores_naosup;forca_trabalho_bep
2008523;523;2008;Presidência da República;0;0;1;4770861174;2605262103;1515779372;249987430;14682;5511;7513
2009523;523;2009;Presidência da República;13;1;1;6108741550;3335598891;1795182744;366317112;15090;5742;7917
2010523;523;2010;Presidência da República;8;1;1;6283721332;3538304873;1613675437;341895512;15271;6024;7799
2011523;523;2011;Presidência da República;3;1;1;5673252353;3397112079;1027177461;128677776;14649;5714;6873
2012523;523;2012;Presidência da República;18;1;1;6903958967;3641340445;1146805555;112621090;14742;5551;8437
2013523;523;2013;Presidência da República;1;1;1;2305247958;1557860703;129311340;13034154;15203;5593;9113
2014523;523;2014;Presidência da República;0;0;1;2202537812;1728149346;100702250;15787695;15145;5613;9151
2015523;523;2015;Presidência da República;15;1;1;2509946649;1738938332;82487650;5977127;15156;5499;18493
2016523;523;2016;Presidência da República;0;0;1;2567420208;1910504844;40302899;12838096;15170;5529;17437
2017523;523;2017;Presidência da República;0;0;1;6944147530;4642029571;605163745;56967053;13314;4970;NA
2018523;523;2018;Presidência da República;2;1;1;8242857622;4947141003;1442719178;213971903;13896;5018;NA
2019523;523;2019;Presidência da República;0;0;1;2401790772;1755913696;66755533;8456965;13183;4543;NA
1997422;422;1997;Ministério da Ciência e Tecnologia;4;1;1;NA;NA;NA;NA;NA;NA;4571
1998422;422;1998;Ministério da Ciência e Tecnologia;9;1;1;NA;NA;NA;NA;NA;NA;4355
1999422;422;1999;Ministério da Ciência e Tecnologia;9;1;1;NA;NA;NA;NA;1602;2285;6875
2000422;422;2000;Ministério da Ciência e Tecnologia;12;1;1;1972380592;1509021404;341202787;130041942;1554;2165;6893
2001422;422;2001;Ministério da Ciência e Tecnologia;21;1;1;2577331118;1885725035;525787480;175750455;3250;615;6750
2002422;422;2002;Ministério da Ciência e Tecnologia;12;1;1;2835306953;1921084468;373207428;56180153;3430;639;7051
2003422;422;2003;Ministério da Ciência e Tecnologia;6;1;1;3452912670;2282857147;240426180;87388640;3164;816;6972
2004422;422;2004;Ministério da Ciência e Tecnologia;22;1;1;3948294428;2621053730;266063109;169637927;3091;797;7152
2005422;422;2005;Ministério da Ciência e Tecnologia;11;1;1;5120710200;2996453695;702457282;240252330;3305;1025;7243
2006422;422;2006;Ministério da Ciência e Tecnologia;17;1;1;5179659053;3129951031;1058175657;466096793;3217;1024;7111
2007422;422;2007;Ministério da Ciência e Tecnologia;6;1;1;5447498470;3362895825;1049285619;436393454;3320;934;6959
2008422;422;2008;Ministério da Ciência e Tecnologia;10;1;1;6407399232;4025762578;1175965749;449316535;3244;902;6806
2009422;422;2009;Ministério da Ciência e Tecnologia;19;1;1;6599147980;4529584810;1235347517;468930757;3250;957;6931
2010422;422;2010;Ministério da Ciência e Tecnologia;13;1;1;7878187273;5309612078;1682883483;533385411;3294;950;7192
2011422;422;2011;Ministério da Ciência e Tecnologia;4;1;1;7348653791;4578672358;1205872728;345112277;3252;899;7043
2012422;422;2012;Ministério da Ciência e Tecnologia;15;1;1;9610419387;5313924147;2320596529;357943717;3163;871;6889
2013422;422;2013;Ministério da Ciência e Tecnologia;5;1;1;10592709774;6332157415;1649042334;328792711;3090;847;7258
